filename,learning_rate,epoch,l1_penalty,l2_penalty,accuracy,accuracy_std,recall,recall_std,specificity,specificity_std,auc,auc_std,balanced_accuracy,balanced_accuracy_std,f1,f1_std
Model-4.npz,1,150,0,0.05,0.6748251748251748,0.08990135377693008,0.5393280632411066,0.24949205534160088,0.7477851605758583,0.14907289526711395,0.7131127467072866,0.09860843168368102,0.6435566119084826,0.1068012740131875,0.5051755939422578,0.19169466286597067
Model-6.npz,1,150,0,1.0,0.617995337995338,0.09329507702809238,0.1,0.30000000000000004,0.9,0.3,0.5,0.0,0.5,0.0,0.05057471264367817,0.15172413793103448
Model-3.npz,1,150,0,0.03,0.6702797202797204,0.09932090200170247,0.5705533596837945,0.2412460719561982,0.7247508305647841,0.12921776612682287,0.6995330672024302,0.1046079594984348,0.6476520951242892,0.11817515563837987,0.5185192680521591,0.21374053202167748
Model-8.npz,1,150,0,3.0,0.40906759906759904,0.13257262784799367,0.42628458498023714,0.21915213932970903,0.40044296788482836,0.1124033189857627,0.4133637764325327,0.1491865174728413,0.4133637764325327,0.14918651747284128,0.3298159700249679,0.1573719825340196
Model-5.npz,1,150,0,0.07,0.6732167832167832,0.08670566989130392,0.5049407114624506,0.22746554803764046,0.7643410852713178,0.14617042490640517,0.727606594618728,0.07728927379432178,0.6346408983668842,0.09863512438904816,0.49002051827713594,0.18932504774498216
Model-12.npz,1,150,0.01,0.05,0.677925407925408,0.09317305573761146,0.5395256916996047,0.2589294848414609,0.7524916943521596,0.14919413841348073,0.7137303629972992,0.09768531242345245,0.6460086930258822,0.11229467743802256,0.5039722493565602,0.2085660117307171
Model-11.npz,1,150,0.01,0.03,0.6687412587412588,0.09593112299313719,0.5436758893280632,0.23868486565102237,0.7364341085271319,0.12654251052317778,0.7191796996397603,0.07572412998115868,0.6400549989275974,0.1153607867991606,0.5041863274763766,0.21092057741246462
Model-1.npz,1,150,0,0,0.7316317016317017,0.07454281954784402,0.600197628458498,0.18030832534899977,0.8023809523809524,0.10796219097111565,0.7629117259552043,0.07386658458353842,0.7012892904197251,0.08664439848481977,0.6010774023575396,0.12439273855772649
Model-2.npz,1,150,0,0.01,0.7224941724941726,0.07295205013708948,0.5428853754940711,0.18534989330796162,0.8189368770764119,0.10649324762129504,0.7568623910636043,0.068438599843652,0.6809111262852416,0.08678937442753179,0.5662424324619446,0.12912036036722474
Model-9.npz,1,150,0.01,0,0.7315617715617716,0.07101315104886279,0.600197628458498,0.14807120195367413,0.8023255813953487,0.10849322588309726,0.7750079883042471,0.05673788105710294,0.7012616049269234,0.07534823439821124,0.6063681430608121,0.09735932425956853
Model-7.npz,1,150,0,2.0,0.6394638694638695,0.08408711203984741,0.517588932806324,0.2212846652882949,0.7056478405315615,0.09450975717130532,0.6392288112965565,0.1300883864672115,0.6116183866689429,0.10797205109060402,0.4844754627523507,0.14973526444511281
Model-10.npz,1,150,0.01,0.01,0.7072027972027972,0.08674363769408532,0.5039525691699603,0.23417929964627782,0.816611295681063,0.10456141745335641,0.7459894335526287,0.08755947559225537,0.6602819324255118,0.1110969072532972,0.5179394857894367,0.2087960605966224
Model-13.npz,1,150,0.01,0.07,0.6686946386946389,0.08741936570455919,0.5049407114624506,0.23158353722211364,0.7573089700996678,0.13229588560972536,0.7255764710516985,0.07122895915249369,0.6311248407810591,0.10441416287406723,0.48674052941464063,0.19402841360161244
Model-16.npz,1,150,0.01,3.0,0.40906759906759904,0.13257262784799367,0.42193675889328064,0.2202316245982476,0.40282392026578073,0.1101780353302028,0.41238033957953063,0.14970821819979016,0.41238033957953063,0.14970821819979016,0.32745037862711845,0.15812386137145643
Model-14.npz,1,150,0.01,1.0,0.617995337995338,0.09329507702809238,0.1,0.30000000000000004,0.9,0.3,0.5,0.0,0.5,0.0,0.05057471264367817,0.15172413793103448
Model-19.npz,1,150,0.03,0.03,0.6718181818181819,0.09614396784745659,0.5612648221343874,0.2130009417302171,0.7316722037652271,0.12770839791136857,0.7243241675749259,0.07570595052857632,0.6464685129498071,0.10956874924741919,0.5276202535929064,0.16182264271312666
Model-18.npz,1,150,0.03,0.01,0.7024708624708624,0.07766675897903341,0.4515810276679842,0.20899571568266645,0.8374307862679956,0.13961730062620464,0.7385533071579584,0.09500615617328319,0.6445059069679899,0.0875368898783196,0.48805548648714325,0.1890882063572014
Model-20.npz,1,150,0.03,0.05,0.6794405594405595,0.0978337423707502,0.5219367588932806,0.2600214534296223,0.7642303433001107,0.14913572375393952,0.7177692715104242,0.09041093394224627,0.6430835510966957,0.11685601149741738,0.49658149085928044,0.21219444410197116
Model-22.npz,1,150,0.03,1.0,0.617995337995338,0.09329507702809238,0.1,0.30000000000000004,0.9,0.3,0.5,0.0,0.5,0.0,0.05057471264367817,0.15172413793103448
Model-21.npz,1,150,0.03,0.07,0.6578554778554778,0.06564607484818553,0.4658102766798419,0.22101197943156448,0.762126245847176,0.1220985351184003,0.7005348880980831,0.09214578387376093,0.613968261263509,0.08496361895287567,0.4584390379731995,0.16701687020757183
Model-24.npz,1,150,0.03,3.0,0.41365967365967365,0.13736374235420698,0.42628458498023714,0.2341643721373072,0.4075858250276855,0.11169206230473551,0.41693520500396125,0.1564893349902198,0.4169352050039613,0.15648933499021978,0.33028608973233115,0.1659604600114639
Model-17.npz,1,150,0.03,0,0.717855477855478,0.0739588653862028,0.5608695652173913,0.1618571042472844,0.8022702104097453,0.09301153817988939,0.7464479403306501,0.08033363435753818,0.6815698878135683,0.08534023832463491,0.5754808874511491,0.11522055701058613
Model-15.npz,1,150,0.01,2.0,0.6333100233100233,0.07047113526360807,0.5086956521739131,0.21489620956158859,0.7007751937984497,0.09202691123124479,0.6427619397791289,0.12806752732439852,0.6047354229861813,0.09563568273733981,0.47417690817219127,0.1456266264231202
Model-23.npz,1,150,0.03,2.0,0.6241724941724942,0.06944431523398523,0.4693675889328063,0.22421425480551374,0.7079180509413068,0.11798107059874365,0.644252798095063,0.12612466687476062,0.5886428199370565,0.09134920070462921,0.44029975304220403,0.16452226870138698
Model-29.npz,1,150,0.05,0.07,0.660955710955711,0.06459806375381548,0.47450592885375487,0.19978360475311183,0.7620708748615724,0.11108171859764109,0.696918155992979,0.09444112752139193,0.6182884018576636,0.08109580964422336,0.47465274277180985,0.1389393762342031
Model-27.npz,1,150,0.05,0.03,0.674941724941725,0.09392274864531545,0.5523715415019763,0.21197575393919157,0.7410852713178294,0.12759238949983365,0.727903365592951,0.07878045864980782,0.6467284064099028,0.10712201689977527,0.526143517998835,0.16058764667686395
Model-28.npz,1,150,0.05,0.05,0.680979020979021,0.07737805687186636,0.5047430830039525,0.23284658449196804,0.7760243632336655,0.13664640479496842,0.7176621406904522,0.08669000803296079,0.640383723118809,0.09445071782700133,0.49410381122399727,0.18691026753133247
Model-30.npz,1,150,0.05,1.0,0.617995337995338,0.09329507702809238,0.1,0.30000000000000004,0.9,0.3,0.5,0.0,0.5,0.0,0.05057471264367817,0.15172413793103448
Model-32.npz,1,150,0.05,3.0,0.4167365967365967,0.1337006448888509,0.41758893280632414,0.23368685691527408,0.41710963455149497,0.1063495026473108,0.41734928367890956,0.15367130498740303,0.41734928367890956,0.15367130498740303,0.3262456246391392,0.1643174242525104
Model-26.npz,1,150,0.05,0.01,0.6568065268065268,0.09204443458792883,0.32549407114624507,0.18888990615526938,0.8353266888150609,0.14359378097962577,0.6841008671140117,0.16475769183978287,0.580410379980653,0.09578713330948516,0.37854969210524403,0.175030592783477
Model-25.npz,1,150,0.05,0,0.6964568764568766,0.07926948979477123,0.4517786561264822,0.2228144962499056,0.8281838316722038,0.11229395603259668,0.7373483863625422,0.10136506595770535,0.6399812438993429,0.10013082727174212,0.4857078903739673,0.1795579840179951
Model-31.npz,1,150,0.05,2.0,0.634895104895105,0.06569441583346584,0.44743083003952566,0.20219081604178604,0.7363787375415283,0.10124731206645493,0.6496055090847811,0.11789108001578465,0.5919047837905269,0.08645108566567472,0.440539196597158,0.15285706880052102
Model-35.npz,1,150,0.07,0.03,0.6687645687645688,0.07891859613270756,0.5353754940711463,0.19975232285436118,0.7411960132890366,0.13087976981054736,0.7253015858425363,0.08107280113011024,0.6382857536800914,0.08880593403412892,0.5116496572062501,0.15487634851418705
Model-36.npz,1,150,0.07,0.05,0.6824941724941725,0.08108233040382433,0.500395256916996,0.27461226338646494,0.7806755260243632,0.13197020160565928,0.7106441418372661,0.08096796013779953,0.6405353914706795,0.11058212888887257,0.4735641401771857,0.24141894572167755
Model-33.npz,1,150,0.07,0,0.6979953379953381,0.06995300323256201,0.4169960474308301,0.24690273108087468,0.8496677740863786,0.08270254970367544,0.7162006092996993,0.15502890589995605,0.6333319107586043,0.104846069038917,0.4546990161918426,0.20647414912274498
Model-37.npz,1,150,0.07,0.07,0.677902097902098,0.059109898881053724,0.49604743083003955,0.1637098610982825,0.7762458471760796,0.10730875581545381,0.7253786237355498,0.0740059948276819,0.6361466390030597,0.06736075859803088,0.5068674808969952,0.1042982620923189
Model-38.npz,1,150,0.07,1.0,0.617995337995338,0.09329507702809238,0.1,0.30000000000000004,0.9,0.3,0.5,0.0,0.5,0.0,0.05057471264367817,0.15172413793103448
Model-40.npz,1,150,0.07,3.0,0.4197435897435898,0.13549481354135565,0.4217391304347826,0.23823895501034123,0.41943521594684385,0.10282117702473084,0.42058717319081323,0.15671379381712475,0.42058717319081323,0.15671379381712472,0.32951534438286967,0.16820074174153765
Model-34.npz,1,150,0.07,0.01,0.6521445221445221,0.08681649433634107,0.32549407114624507,0.20777519271226624,0.8282392026578073,0.13924802202663847,0.6793647875548785,0.15914012830862087,0.5768666369020262,0.09608531866586831,0.3655091292017404,0.19385699934246495
Model-39.npz,1,150,0.07,2.0,0.6364801864801864,0.06551926767090029,0.5043478260869565,0.2032573867781501,0.7078626799557033,0.11052226267279726,0.6454960189793354,0.12820130339410918,0.6061052530213299,0.08373940687696328,0.47616219938321275,0.12991732321344543
